fecha_hora,url,profundidad,tipo,archivo_guardado,palabras_extraidas,notas
2026-05-04T20:30:36,https://explora.upc.edu.pe/79841-cargo-recurrente/en-que-fechas-me-haran-el-cargo-a-mi-tarjeta-de-credito,1,ignorada,,0,"words=219,kw=2,method=simple"
2026-05-04T20:30:40,https://explora.upc.edu.pe/79841-cargo-recurrente/cuanto-tiempo-tarda-en-saber-si-el-cargo-realizado-a-la-tarjeta-afiliada-paso-exitosamente,1,ignorada,,0,"words=213,kw=2,method=simple"
2026-05-04T20:30:44,https://explora.upc.edu.pe/79841-cargo-recurrente/he-verificado-que-han-realizado-un-cargo-a-la-tarjeta-que-tenia-afiliada-pero-yo-no-lo-autorice-que-hago,1,ignorada,,0,"words=290,kw=2,method=simple"
2026-05-04T20:30:49,https://explora.upc.edu.pe/79841-cargo-recurrente/cual-es-el-proceso-para-extornar-un-cargo-indebido-y-cuanto-tiempo-dura-en-realizarlo,1,ignorada,,0,"words=272,kw=1,method=simple"
2026-05-04T20:30:53,https://cerbero.upc.edu.pe/apps/gmailingpregrado/Mailing.aspx?idMailing=70409&idTele=23,1,ignorada,,0,"words=5,kw=0,method=playwright"
2026-05-04T20:30:58,https://explora.upc.edu.pe/79842-lugares-de-pago/en-que-bancos-puedo-pagar-mi-sustentacion-de-tesis-o-asesoria-de-tesis,1,ignorada,,0,"words=227,kw=1,method=simple"
2026-05-04T20:31:01,https://explora.upc.edu.pe/79842-lugares-de-pago/donde-realizo-el-pago-por-la-solicitud-de-egresado-y-bachiller-y-cuanto-tiempo-tengo-para-hacer-el-pago,1,ignorada,,0,"words=237,kw=1,method=simple"
2026-05-04T20:31:04,https://explora.upc.edu.pe/79842-lugares-de-pago/cuales-son-los-medios-de-pago-autorizados,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_79842-lugares-de-pago_cuales-son-los-medios-de-pago-autorizad_e123ea6b.txt,964,"method=simple,kw=3"
2026-05-04T20:31:16,https://fotos.upc.edu.pe/actualizacion_de_foto/,1,ignorada,,0,"words=15,kw=1,method=playwright"
2026-05-04T20:31:21,https://explora.upc.edu.pe/77743-actualizacion-de-datos/como-actualizo-mi-foto-en-mi-upc,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77743-actualizacion-de-datos_como-actualizo-mi-foto-en-mi-upc_922bddf1.txt,408,"method=simple,kw=3"
2026-05-04T20:31:30,https://estudiante.upc.edu.pe,1,ignorada,,0,"words=24,kw=0,method=playwright"
2026-05-04T20:31:35,https://explora.upc.edu.pe/77743-actualizacion-de-datos/como-actualizo-mis-datos,1,ignorada,,0,"words=276,kw=1,method=simple"
2026-05-04T20:31:48,https://explora.upc.edu.pe/77743-actualizacion-de-datos/%C2%BFhasta-cuando-puedo-actualizar-mis-datos-si-es-mi-ultimo-ciclo-de-estudios,1,ignorada,,0,"words=248,kw=2,method=playwright"
2026-05-04T20:31:52,https://explora.upc.edu.pe/riesgo_academico/asesoria-de-riesgo-academico,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_riesgo_academico_asesoria-de-riesgo-academico_93fa01d1.txt,554,"method=simple,kw=6"
2026-05-04T20:32:05,https://explora.upc.edu.pe/sacion-disciplinaria/%C2%BFcomo-puedo-saber-el-estado-de-mi-proceso-disciplinario-o-sancion,1,ignorada,,0,"words=259,kw=3,method=playwright"
2026-05-04T20:32:09,https://www.upc.edu.pe/servicios/servicio-de-buses/,1,html,/tmp/upc_documents/html_text/otros/www_upc_edu_pe_servicios_servicio-de-buses__1c50eed6.txt,878,"method=simple,kw=2"
2026-05-04T20:32:13,https://explora.upc.edu.pe/77752-buses/cuanto-cuesta-el-pasaje-del-bus-upc,1,html,/tmp/upc_documents/html_text/otros/explora_upc_edu_pe_77752-buses_cuanto-cuesta-el-pasaje-del-bus-upc_82a9f6b3.txt,324,"method=simple,kw=1"
2026-05-04T20:32:18,https://explora.upc.edu.pe/77752-buses/cuales-son-los-tipos-de-rutas-y-sus-diferencias,1,ignorada,,0,"words=225,kw=0,method=simple"
2026-05-04T20:32:30,https://explora.upc.edu.pe/77752-buses/puedo-bajarme-en-cualquier-paradero-que-este-en-ruta,1,ignorada,,0,"words=247,kw=0,method=playwright"
2026-05-04T20:32:35,https://explora.upc.edu.pe/77752-buses/%C2%BFcu%C3%A1les-son-los-medios-de-pago-para-tomar-el-servicio-de-buses,1,ignorada,,0,"words=257,kw=1,method=simple"
